Gene,Th_1,Th_2,Th_3,Th_4,Th_5,Am_1,Am_2,Am_3,Am_4,Am_5
Idnk,0,0,0,0,0,2,0,0,2,1
Ido2,0,0,0,0,0,0,0,0,0,1
Ids,27,65,26,30,15,51,65,63,79,71
Idua,1,0,0,0,0,1,6,0,4,2
Ier2,1,1,0,0,0,0,1,3,1,1
Ier3,0,1,1,1,0,2,5,0,1,1
Ier3ip1,1,2,0,0,0,1,1,1,1,3
Ier5,0,1,0,1,0,3,6,8,3,1
Ier5l,0,1,1,1,0,2,2,3,6,2
Iffo1,1,1,2,0,1,7,9,3,8,5
Iffo2,3,4,1,1,3,4,4,7,9,6
Ifi30,0,1,0,0,0,0,3,0,0,0
Ifi35,0,0,0,0,0,0,0,0,1,0
Ifih1,0,0,0,0,0,1,2,0,0,0
Ifit2,0,2,0,0,0,1,4,4,3,0
Ifit3,0,0,0,0,0,0,2,0,0,0
Ifit3b,0,0,0,0,0,0,0,1,0,0
Ifitm1,0,0,0,0,0,0,0,0,1,0
Ifitm10,0,0,0,0,0,0,1,1,1,3
Ifitm2,0,0,0,0,0,0,0,1,0,0
Ifitm3,0,0,0,0,0,0,0,0,0,1
Ifnar1,1,14,0,3,1,6,15,5,11,7
Ifnar2,0,0,0,0,0,0,0,0,1,0
Ifngr1,0,0,2,1,2,3,5,0,1,2
Ifngr2,3,4,2,2,4,11,12,5,4,5
Ifrd1,1,0,0,0,0,2,4,1,0,1
Ifrd2,0,1,0,0,0,1,2,1,1,1
Ift122,3,2,1,3,2,2,1,4,4,3
Ift140,1,4,1,2,2,7,12,5,9,3
Ift172,2,2,2,1,2,4,5,6,7,2
Ift20,0,0,1,1,0,0,3,4,4,1
Ift22,2,4,1,2,1,6,4,9,6,8
Ift27,1,0,1,0,0,2,1,2,1,3
Ift43,1,1,0,0,0,0,1,1,1,0
Ift46,3,4,5,2,1,12,6,14,14,9
Ift52,1,2,1,1,1,8,5,6,5,10
Ift57,1,1,0,0,0,1,4,0,2,0
Ift74,3,3,1,2,0,1,4,0,3,1
Ift80,4,5,2,5,1,10,12,10,10,9
Ift81,0,0,0,1,0,2,3,3,3,2
Ift88,3,2,0,0,1,5,2,1,5,1
Ift88os,0,0,0,0,0,0,0,0,0,1
Iftap,0,0,0,0,0,0,3,1,0,1
Igbp1,1,3,2,0,1,4,11,4,4,2
Igbp1b,0,0,0,1,0,0,0,0,0,0
Igdcc3,0,0,0,0,0,2,0,1,4,2
Igdcc4,3,3,0,2,1,2,11,3,11,5
Igf1,6,9,1,2,1,9,20,7,13,9
Igf1r,21,34,8,11,13,46,75,63,84,40
Igf2,1,0,0,1,0,0,0,2,3,4
Igf2bp2,0,0,0,1,0,3,1,0,1,1
Igf2bp3,1,1,0,0,0,2,10,1,3,1
Igf2r,4,6,2,2,3,10,11,5,17,6
Igfbp2,3,0,1,0,0,0,3,2,7,1
Igfbp3,0,1,0,0,1,0,0,0,1,1
Igfbp4,6,3,2,2,0,8,23,11,15,8
Igfbp5,11,31,14,14,4,55,44,40,57,36
Igfbp6,0,0,0,0,0,0,0,0,1,0
Igfbp7,3,3,1,1,1,4,1,2,5,11
Igfbpl1,0,0,0,0,0,0,2,0,0,1
Igfn1,0,0,0,0,0,0,1,3,0,0
Ighmbp2,2,2,2,0,0,1,1,0,1,1
Igip,3,10,2,4,2,9,14,5,7,4
Iglon5,15,22,5,11,7,44,44,30,58,51
Igsf1,1,0,0,0,0,0,0,0,0,0
Igsf10,1,3,0,0,0,1,6,2,3,3
Igsf11,3,7,6,3,1,14,8,7,19,7
Igsf21,0,1,5,4,2,5,15,15,12,2
Igsf3,2,1,4,1,0,1,2,5,10,5
Igsf6,0,0,0,0,0,1,0,0,0,0
Igsf8,9,10,5,8,2,21,23,33,32,28
Igsf9,4,6,9,4,4,12,8,11,16,8
Igsf9b,7,18,5,11,5,24,49,25,21,25
Igtp,0,0,0,0,0,0,1,0,1,0
Ik,3,5,4,8,0,18,15,9,18,9
Ikbip,1,0,0,0,1,3,3,0,1,1
Ikbkb,2,3,1,0,0,7,12,4,3,3
Ikbke,0,0,0,0,0,0,3,0,0,1
Ikbkg,1,3,3,1,1,9,9,4,11,4
Ikzf2,1,4,3,1,0,3,1,3,5,1
Ikzf4,1,4,1,5,4,10,18,10,15,5
Ikzf5,1,1,0,0,0,0,1,0,0,0
Il10rb,0,0,0,0,0,1,0,1,0,0
Il11ra1,0,0,0,0,0,0,1,1,0,0
Il13ra1,0,0,0,0,0,1,0,0,0,0
Il15ra,0,0,0,0,0,1,0,0,0,0
Il16,0,0,0,0,0,1,1,1,0,0
Il17d,1,3,1,0,0,0,1,0,3,3
Il17ra,0,0,1,0,0,3,0,0,1,0
Il17rb,0,0,0,0,0,0,1,2,1,0
Il17rc,0,0,0,0,0,0,0,0,1,0
Il17rd,0,0,0,0,0,0,3,1,3,2
Il17re,0,1,0,0,0,0,2,0,0,1
Il18,0,0,1,0,0,0,0,0,2,0
Il18bp,0,1,0,0,0,2,1,0,0,0
Il1r1,0,0,0,0,0,0,2,1,0,0
Il1rap,0,1,1,0,0,1,4,4,0,3
Il1rapl1,0,3,0,0,0,1,2,2,4,2
Il1rapl2,0,0,0,0,0,0,0,0,0,1
Il20ra,0,0,0,0,1,0,2,0,0,0
Il20rb,0,0,0,0,0,0,1,0,0,0
Il23a,0,0,0,0,0,0,0,0,0,1
Il27,0,0,0,0,0,0,0,1,0,0
Il2rg,3,1,0,0,0,0,1,0,1,0
Il33,1,3,1,2,2,3,10,5,9,2
Il34,1,1,1,1,1,4,2,1,4,2
Il3ra,0,1,0,0,0,1,0,0,0,0
Il4,0,3,1,0,0,2,1,3,2,2
Il4i1,0,0,0,0,0,0,2,0,1,0
Il4ra,1,0,1,1,1,3,2,5,4,2
Il5ra,0,0,0,0,0,0,1,0,1,0
Il6st,5,16,4,10,4,29,27,21,35,24
Ildr1,0,1,3,0,0,0,0,0,0,0
Ildr2,1,4,2,0,0,9,10,10,6,6
Ilf2,5,5,4,3,2,13,14,8,11,12
Ilf3,7,4,2,7,7,19,28,20,41,18
Ilkap,0,1,0,0,1,2,3,0,0,6
Ilrun,5,9,7,10,6,20,19,15,33,32
Ilvbl,0,0,0,0,0,1,1,0,2,2
Immp1l,0,0,0,0,0,1,1,0,0,0
Immp2l,0,0,1,0,0,0,0,1,0,0
Immt,7,7,5,4,1,16,18,16,22,9
Imp3,0,1,0,0,0,1,0,0,1,1
Imp4,3,4,2,4,1,5,4,2,12,4
Impa1,2,0,1,1,1,6,4,4,4,3
Impa2,0,0,0,0,0,0,1,0,0,0
Impact,17,30,16,10,11,38,53,25,50,48
Impdh1,29,25,26,38,24,71,31,60,91,56
Impdh2,0,0,1,0,0,0,1,1,0,1
Impg1,16,5,14,14,10,37,10,22,24,15
Impg2,13,14,13,24,2,35,18,22,49,22
Ina,14,22,14,14,4,49,44,39,56,40
Inafm1,3,0,0,2,2,2,4,2,7,4
Inafm2,0,4,2,1,1,7,7,2,14,5
Incenp,1,3,1,1,1,2,5,5,3,1
Inf2,1,2,4,1,0,5,10,4,12,7
Ing1,0,1,0,0,0,0,0,1,0,2
Ing2,0,0,0,1,0,0,2,3,1,1
Ing3,1,1,0,2,1,4,5,2,5,4
Ing4,0,0,0,0,0,0,2,0,0,0
Ing5,0,1,1,0,1,2,5,0,2,0
