,F0.005,F0.01,F0.025,F0.05,F0.075,F0.1,F0.2,F0.3,F0.4,F0.5,F0.7,F0.9
0,123900,182431,258376,305476,329059,344974,382513,408729,430401,449458,484235,514945
1,124232,182513,258339,305904,329595,344716,382532,408798,430275,449735,484840,514905
2,123776,182105,258039,305320,329167,344579,382978,408539,430399,449821,484554,514879
3,123836,182150,258018,305875,329392,344567,382328,408150,430521,449790,484412,514881
4,123819,181816,257984,305724,329393,344705,382812,408425,430181,450231,484642,514954
