,F0.005,F0.01,F0.025,F0.05,F0.075,F0.1,F0.2,F0.3,F0.4,F0.5,F0.7,F0.9
0,0,0,2,1,2,0,10,9,18,16,18,25
1,0,0,0,1,5,5,5,12,10,15,18,26
2,0,1,0,2,2,3,8,12,15,18,17,21
3,0,1,0,2,1,6,7,9,9,16,18,24
4,0,0,0,3,3,4,5,9,10,13,25,24
,,,,,,,,,,,,
,0,0.4,0.4,1.8,2.6,3.6,7,10.2,12.4,15.6,19.2,24
,0,0.547722558,0.894427191,0.836660027,1.516575089,2.302172887,2.121320344,1.643167673,3.911521443,1.816590212,3.271085447,1.870828693
