ImageNumber,ObjectNumber,FileName_MouseCyto,PathName_MouseCyto,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
3,1,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,400.1011736139215,223.3512747875354,0,1
3,2,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,811.8737642585552,280.59923954372624,0,2
3,3,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,466.3879472693032,355.2984934086629,0,3
3,4,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,399.3385269121813,372.0391879131256,0,4
3,5,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,560.0387231815803,459.5353218210361,0,5
3,6,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,544.5935064935065,551.8785714285714,0,6
3,7,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,347.0071482317532,636.4544770504139,0,7
3,8,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,893.3401941747572,674.7027184466019,0,8
3,9,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,850.4460415745245,863.8836797877045,0,9
3,10,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,883.5691188358933,781.4951495553759,0,10
3,11,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,698.9132231404959,785.400826446281,0,11
3,12,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,927.356608478803,877.521612635079,0,12
3,13,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,306.0989782886335,878.0386334610472,0,13
3,14,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,786.460843373494,887.9006024096385,0,14
3,15,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,202.1817871759891,929.8499317871759,0,15
3,16,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,872.3049535603715,1010.0405572755418,0,16
3,17,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,968.1852162956741,1015.5094498110038,0,17
3,18,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,635.7981651376147,1036.5803959439884,0,18
3,19,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,847.2834295868503,1071.1341625944026,0,19
3,20,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,697.36681762042,1144.3532317826266,0,20
3,21,436F-MouseBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/MouseBCArea,844.5362385321101,1165.7954128440367,0,21
