AreaOccupied_AreaOccupied_IdentifyPrimaryObjects,AreaOccupied_Perimeter_IdentifyPrimaryObjects,AreaOccupied_TotalArea_IdentifyPrimaryObjects,ImageNumber
40319.0,5808.0,869120.0,1
44846.0,5744.0,1609272.0,2
52283.0,6347.0,1505160.0,3
