,F0.005,F0.01,F0.025,F0.05,F0.075,F0.1,F0.2,F0.3,F0.4,F0.5,F0.7,F0.9
0,124113,182109,258225,305701,329065,344784,382792,408447,430570,449864,484127,514720
1,124087,182299,258125,305429,329143,344784,382765,408218,430282,449961,484149,514851
2,124468,182063,257580,305438,329400,344872,382529,408836,429785,449571,484356,514850
3,123941,182464,258050,305485,329126,344582,382473,408531,430458,450109,484204,514880
4,123984,182299,258189,305544,329406,344669,382511,408294,429580,449634,484454,514666
