ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,996.3433315479379,90.57739689341189,0,1
1,2,704.042588042588,93.13022113022113,0,2
1,3,953.1846645367413,80.72332268370607,0,3
1,4,954.2588235294118,151.40882352941176,0,4
1,5,469.93560606060606,217.30227272727274,0,5
1,6,766.4176594253679,183.66222845129641,0,6
1,7,819.6844339622642,244.73584905660377,0,7
1,8,280.72095671981776,231.5888382687927,0,8
1,9,176.74267241379312,301.0323275862069,0,9
1,10,233.09370494954348,299.81883709754925,0,10
1,11,121.16066000868433,350.54494138080764,0,11
1,12,1014.9642004773269,396.0310262529833,0,12
1,13,144.37985436893203,396.3252427184466,0,13
1,14,685.1360856269113,407.8065749235474,0,14
1,15,960.1545064377682,439.59281115879827,0,15
1,16,534.033542204202,487.0280132694434,0,16
1,17,275.8185053380783,509.2526690391459,0,17
1,18,114.01342845153168,561.0658833403273,0,18
1,19,890.8329455560726,557.2024197301071,0,19
1,20,763.1246913580247,540.5456790123457,0,20
1,21,711.7624177139437,567.9724715739078,0,21
1,22,164.94407008086253,589.3429919137467,0,22
1,23,261.83087149187594,655.741506646972,0,23
1,24,606.8446601941747,625.2567421790723,0,24
1,25,532.4298245614035,652.6539961013646,0,25
2,1,485.17537163519484,286.2942948975492,0,1
2,2,856.274375,266.939375,0,2
2,3,611.4025267249757,363.42410106899905,0,3
2,4,644.2077986179664,300.91806515301084,0,4
2,5,1006.4701844701844,308.4847704847705,0,5
2,6,1069.1449044585988,418.8683651804671,0,6
2,7,865.6004962779157,417.5593052109181,0,7
2,8,705.9269287833828,513.7952522255193,0,8
2,9,1110.0100654252642,529.8037242073477,0,9
2,10,406.7176470588235,525.9843137254902,0,10
2,11,815.06541218638,547.9668458781362,0,11
2,12,335.40391254315307,526.2036823935558,0,12
2,13,885.3608049832295,552.9990416866315,0,13
2,14,380.1403661726242,585.7846556233653,0,14
2,15,741.9890073284477,587.2994670219854,0,15
2,16,1128.0458548436077,633.7585788035226,0,16
2,17,975.0136411332634,667.1888772298006,0,17
2,18,593.5993764614185,659.7123928293063,0,18
2,19,1105.6374790853317,690.005577244841,0,19
2,20,431.7049905243209,701.7662665824384,0,20
2,21,743.759185480301,728.9898185037628,0,21
2,22,1083.5522317188984,736.1519468186135,0,22
2,23,833.7477477477478,796.7503217503217,0,23
2,24,1001.8591311682834,902.371151412906,0,24
2,25,487.76873431337395,953.6367873789889,0,25
2,26,591.605099931082,936.6712611991729,0,26
2,27,894.4566458982347,977.918743509865,0,27
2,28,346.67504753855906,1048.120219733784,0,28
2,29,769.1998658618377,1040.0804828973844,0,29
2,30,574.7705088265836,981.7154724818276,0,30
2,31,384.0559610705596,984.0243309002433,0,31
2,32,716.0194750211685,1016.6054191363252,0,32
2,33,649.9973404255319,1010.0791223404256,0,33
2,34,1057.1532290413156,1035.6570397111914,0,34
2,35,523.3795688847235,1046.7572633552015,0,35
2,36,855.5424258198855,1096.204060385216,0,36
2,37,1074.0151057401813,1089.0332326283988,0,37
2,38,443.25689263704186,1121.628608498216,0,38
2,39,297.24987869966037,1123.3605046094128,0,39
2,40,591.4285714285714,1102.6869488536156,0,40
2,41,672.7477638640429,1235.2128801431127,0,41
2,42,555.6455361859482,1258.2044374009508,0,42
3,1,798.5453345070423,136.85739436619718,0,1
3,2,1092.2660550458716,117.90825688073394,0,2
3,3,685.9059987631416,152.43413729128014,0,3
3,4,512.51484375,453.386328125,0,4
3,5,365.41509433962267,497.88461538461536,0,5
3,6,857.5352209944751,633.3736187845304,0,6
3,7,316.88116458704695,679.3267973856209,0,7
3,8,1020.8250728862973,706.927113702624,0,8
3,9,937.3187613843352,728.8998178506375,0,9
3,10,564.1783970123528,751.1163458776214,0,10
3,11,296.0509787928222,734.3038336052202,0,11
3,12,819.2918566775244,768.1218241042345,0,12
3,13,1023.9189895470383,771.2543554006969,0,13
3,14,586.9177461139897,828.7694300518135,0,14
3,15,1079.0954816709293,798.9445865302642,0,15
3,16,639.4072438162544,862.3957597173145,0,16
3,17,810.9199589533093,903.3636052676586,0,17
3,18,476.48525585429314,956.7714657415438,0,18
3,19,650.8762626262626,949.5117845117845,0,19
3,20,926.0867246147768,1024.701106282102,0,20
3,21,706.1161657189277,1096.1909017059302,0,21
4,1,400.1011736139215,223.3512747875354,0,1
4,2,811.8737642585552,280.59923954372624,0,2
4,3,466.3879472693032,355.2984934086629,0,3
4,4,399.3385269121813,372.0391879131256,0,4
4,5,560.0387231815803,459.5353218210361,0,5
4,6,544.5935064935065,551.8785714285714,0,6
4,7,347.0071482317532,636.4544770504139,0,7
4,8,893.3401941747572,674.7027184466019,0,8
4,9,850.4460415745245,863.8836797877045,0,9
4,10,883.5691188358933,781.4951495553759,0,10
4,11,698.9132231404959,785.400826446281,0,11
4,12,927.356608478803,877.521612635079,0,12
4,13,306.0989782886335,878.0386334610472,0,13
4,14,786.460843373494,887.9006024096385,0,14
4,15,202.1817871759891,929.8499317871759,0,15
4,16,872.3049535603715,1010.0405572755418,0,16
4,17,968.1852162956741,1015.5094498110038,0,17
4,18,635.7981651376147,1036.5803959439884,0,18
4,19,847.2834295868503,1071.1341625944026,0,19
4,20,697.36681762042,1144.3532317826266,0,20
4,21,844.5362385321101,1165.7954128440367,0,21
