Gene,RGC_1,RGC_2,RGC_3,RGC_4,BP_1,BP_2,BP_3,BP_4,ONL_1,ONL_2,ONL_3,ONL_4
Gm13194,0,0,0,0,0,1,0,0,1,0,0,0
Gm13196,0,0,0,1,0,1,0,0,0,0,2,1
Gm13198,0,0,0,0,0,0,1,0,0,0,0,0
Gm13199,0,0,0,0,0,0,0,0,0,1,0,0
Gm13200,0,0,0,0,0,0,0,0,0,1,0,0
Gm13204,0,0,0,0,0,0,0,0,0,0,1,0
Gm13205,2,1,1,0,0,1,0,1,1,1,0,1
Gm13207,1,0,0,0,0,0,0,0,0,0,0,0
Gm13216,0,0,0,0,0,0,0,0,0,0,1,0
Gm13217,0,0,0,0,0,0,0,0,1,0,0,0
Gm13226,0,0,0,0,0,0,0,0,0,0,0,0
Gm13230,0,0,1,0,0,1,0,0,0,0,0,0
Gm13231,0,0,0,0,0,0,0,0,0,1,0,0
Gm13252,0,0,0,0,0,0,0,0,0,1,0,0
Gm13259,0,0,0,0,0,0,0,0,0,0,0,0
Gm13262,0,0,0,0,0,0,0,2,0,0,0,0
Gm13270,0,0,0,0,0,1,0,0,0,0,0,0
Gm13274,0,0,0,0,0,0,0,0,0,0,1,0
Gm13292,1,3,0,1,0,0,0,1,1,0,1,0
Gm13293,1,0,0,0,0,0,0,0,1,0,0,0
Gm13294,1,0,0,0,0,1,1,0,1,1,1,2
Gm13296,0,0,0,0,0,0,1,0,0,0,0,0
Gm13297,1,0,0,0,0,0,0,0,0,0,0,0
Gm13310,0,0,2,1,0,0,1,0,8,3,1,1
Gm13312,0,0,1,0,0,0,0,0,0,0,0,0
Gm13315,0,0,0,1,0,0,0,0,0,2,0,0
Gm13316,0,0,0,1,0,0,0,0,0,0,0,0
Gm13321,0,0,0,0,0,0,0,0,0,0,1,0
Gm13324,0,0,0,0,1,0,0,0,0,0,0,0
Gm13326,0,1,0,0,1,0,0,0,1,1,0,0
Gm13327,0,0,0,0,0,0,0,1,0,0,0,0
Gm13328,1,0,0,0,0,0,0,0,0,0,0,0
Gm13329,0,1,0,0,0,0,0,0,0,1,0,0
Gm13330,0,0,0,1,0,0,0,0,1,1,0,0
Gm13335,1,0,0,0,0,0,0,0,0,0,0,0
Gm13339,2,7,9,7,0,0,1,2,5,5,4,1
Gm13340,62,63,67,55,12,14,22,15,40,30,13,16
Gm13341,9,3,4,5,1,0,2,2,4,4,2,3
Gm13351,0,0,1,0,0,1,0,0,1,1,0,0
Gm13361,1,0,0,0,0,0,0,0,0,0,0,0
Gm13363,1,1,0,1,0,0,0,0,0,0,0,0
Gm13365,0,0,0,0,0,1,0,1,1,0,1,0
Gm13369,0,0,0,0,1,0,0,1,0,0,0,0
Gm13373,2,0,1,2,0,0,0,0,0,0,0,1
Gm13375,10,9,7,9,1,5,2,2,2,6,6,3
Gm13379,0,0,1,1,0,0,0,0,0,0,0,0
Gm13385,0,0,0,0,0,0,0,0,1,0,0,0
Gm13388,0,0,0,0,0,0,0,0,0,1,0,0
Gm13394,234,186,197,142,61,65,94,81,258,249,160,92
Gm13400,0,0,0,0,0,0,0,0,0,0,0,0
Gm13404,0,0,0,0,0,0,0,0,0,0,1,0
Gm13405,1,0,0,0,0,0,0,0,0,0,0,0
Gm13410,5,6,3,2,3,4,6,0,6,14,11,6
Gm13413,0,0,0,0,0,0,0,0,0,0,0,1
Gm13414,0,0,0,0,0,0,0,0,1,0,0,0
Gm13415,0,0,1,1,0,0,0,0,0,0,0,0
Gm13416,0,0,0,1,0,0,0,0,0,0,0,0
Gm13420,1,0,0,0,0,0,0,0,1,0,0,0
Gm13421,1,0,0,0,0,0,0,0,0,0,1,0
Gm13422,0,0,0,1,0,0,0,0,0,2,1,0
Gm13423,0,0,0,1,0,0,1,1,1,0,0,0
Gm13427,0,0,0,0,0,0,0,1,0,0,0,0
Gm13436,0,0,0,0,0,0,0,0,0,1,0,0
Gm13437,0,1,2,0,0,0,1,0,1,1,0,0
Gm13442,0,0,0,0,0,0,0,1,0,0,0,0
Gm13446,5,5,5,8,0,3,1,0,1,0,0,0
Gm13456,0,2,2,2,1,1,1,2,2,2,1,1
Gm13459,0,1,0,1,1,0,0,0,0,0,0,0
Gm13460,1,0,1,2,1,0,0,0,2,1,0,1
Gm13461,1,0,1,1,0,0,0,0,1,0,0,0
Gm13462,0,0,0,1,0,0,0,0,0,0,0,0
Gm13464,1,0,0,2,0,0,0,0,0,1,0,0
Gm13466,0,1,1,2,1,1,1,1,3,4,2,1
Gm13470,1,0,0,0,0,0,0,0,0,0,0,0
Gm13474,0,0,0,0,0,0,0,0,0,0,0,0
Gm13477,1,0,1,1,0,0,0,0,0,1,1,0
Gm13480,1,0,0,0,0,0,0,0,0,0,0,0
Gm13483,0,2,1,0,0,1,0,1,1,0,0,0
Gm13484,0,0,0,0,1,0,0,0,0,0,0,0
Gm13488,0,0,0,0,0,0,0,0,0,0,0,1
Gm13493,0,0,0,0,0,0,0,0,1,0,0,0
Gm13494,0,0,0,0,0,0,0,0,0,0,1,0
Gm13498,0,0,0,0,0,1,0,0,1,0,0,0
Gm13501,9,5,6,5,1,3,1,3,11,9,7,3
Gm13510,0,0,0,0,0,2,0,0,0,0,1,1
Gm13517,0,1,0,0,0,0,0,0,0,0,0,0
Gm13523,0,1,0,0,0,0,0,0,1,1,0,0
Gm13524,1,0,0,0,0,0,0,0,0,2,0,0
Gm13527,3,1,2,4,1,1,4,0,3,9,2,1
Gm13529,0,0,0,0,1,0,2,0,2,1,0,0
Gm13537,0,0,0,0,0,0,0,0,0,1,0,0
Gm13541,1,1,0,0,1,1,0,0,0,0,0,0
Gm13542,0,0,0,0,0,0,0,0,0,0,0,1
Gm13547,1,0,0,0,1,0,0,0,0,0,0,1
Gm13549,0,0,1,0,0,0,0,0,1,0,0,0
Gm13552,0,0,1,0,0,0,0,0,1,0,0,0
Gm13553,0,0,0,0,2,0,0,2,0,0,0,0
Gm13556,0,2,1,0,0,1,0,1,2,2,2,0
Gm13558,2,1,0,0,0,0,0,0,0,0,0,0
Gm13561,0,0,0,0,0,0,0,1,0,0,0,0
Gm13562,0,1,1,1,0,1,0,0,1,0,1,2
Gm13563,1,0,1,0,1,0,0,1,2,0,0,0
Gm13566,0,0,0,0,0,0,0,0,2,0,0,0
Gm13571,0,0,0,0,0,0,0,0,1,1,0,0
Gm13572,0,0,0,0,0,0,0,0,0,0,0,0
Gm13574,0,0,0,0,1,1,0,2,2,2,0,1
Gm13578,0,0,0,0,0,0,0,0,0,0,0,0
Gm13583,0,0,0,0,1,0,1,0,13,16,6,2
Gm13584,0,0,0,0,0,0,0,1,0,0,0,0
Gm13588,1,1,0,0,0,0,0,0,0,0,0,0
Gm13590,0,0,0,0,0,0,0,0,0,0,0,0
Gm13592,4,2,4,1,0,3,0,4,3,1,3,3
Gm13600,0,1,0,0,0,0,0,0,0,0,0,0
Gm13604,0,2,0,0,0,0,0,0,1,0,0,0
Gm13607,0,0,1,0,0,0,0,0,0,0,0,0
Gm13618,0,0,0,0,0,0,0,0,1,0,0,0
Gm13622,0,0,0,0,0,0,0,0,1,0,0,0
Gm13623,0,0,0,0,1,0,0,0,1,0,0,1
Gm13627,0,1,0,1,0,0,0,0,0,0,0,0
Gm13629,3,2,4,1,0,0,0,0,1,0,1,0
Gm13630,1,0,0,0,0,0,0,0,0,0,0,0
Gm13632,1,0,0,0,0,0,0,1,0,0,0,0
Gm13645,0,0,0,1,0,0,0,0,0,0,0,0
Gm13649,1,0,1,0,0,0,0,0,0,0,0,0
Gm13651,0,0,0,0,0,0,0,0,0,2,1,0
Gm13663,0,0,0,0,0,0,0,0,0,0,1,0
Gm13665,0,0,0,1,0,0,0,0,0,0,0,0
Gm13666,0,0,0,0,0,0,0,0,0,0,0,0
Gm13668,0,2,1,0,0,0,0,0,0,2,0,0
Gm13677,0,0,0,1,0,0,0,1,0,2,1,0
Gm13679,0,0,0,0,0,0,0,0,1,0,1,0
Gm13680,1,0,0,3,3,4,0,1,3,1,2,1
Gm13684,0,0,0,0,0,0,1,0,1,0,0,0
Gm13687,0,0,1,0,0,0,0,0,1,0,0,0
Gm13688,0,0,0,0,0,0,0,0,0,1,0,1
Gm13710,1,0,0,0,0,0,0,0,0,0,0,0
Gm13712,0,0,0,1,0,0,0,0,0,0,0,0
Gm13716,2,5,4,6,0,0,1,0,1,0,0,0
Gm13719,1,0,0,1,0,0,0,0,3,0,0,0
Gm13724,0,0,0,0,0,1,0,0,0,0,0,0
Gm13726,0,0,0,0,0,0,1,0,0,0,0,0
Gm13743,0,0,0,0,0,0,0,0,0,0,0,0
Gm13744,0,0,0,0,0,0,0,0,0,0,0,0
Gm13758,0,0,0,0,0,0,0,0,2,0,1,0
Gm13761,1,0,0,4,0,0,1,0,0,3,1,0
Gm13771,0,0,0,1,0,0,0,0,0,0,0,0
Gm13776,0,0,0,0,1,0,0,0,0,0,0,0
Gm13782,0,1,0,0,1,0,0,0,0,0,0,0
Gm13790,0,0,0,0,0,0,0,0,0,2,0,0
Gm13803,0,0,0,0,0,0,0,0,0,0,1,0
Gm13804,0,0,0,0,0,1,0,0,0,0,1,0
Gm13813,0,0,0,0,0,0,0,0,0,0,0,0
Gm13814,0,0,2,0,0,1,0,1,1,1,0,0
Gm13815,0,1,1,0,0,0,0,0,0,0,0,0
Gm13816,0,0,0,0,0,0,0,1,0,0,0,0
Gm13818,0,0,0,1,0,0,0,0,0,0,0,0
Gm13821,0,0,0,1,0,0,0,1,0,0,0,0
Gm13827,0,0,0,0,0,0,1,0,1,1,0,0
Gm13828,1,0,0,0,0,0,0,0,0,0,0,0
Gm13829,0,0,0,0,0,0,0,0,0,0,1,0
Gm13830,3,1,4,2,0,2,0,0,5,5,5,2
Gm13831,0,0,0,0,0,1,0,0,0,0,0,0
Gm13832,0,0,1,0,0,0,0,0,0,0,0,0
Gm13833,0,1,0,1,0,2,0,0,0,0,0,0
Gm13835,0,1,1,0,0,0,0,0,0,0,0,0
Gm13841,0,1,0,0,0,0,0,0,0,0,0,0
Gm13844,1,0,0,1,1,0,0,0,0,0,0,0
Gm13848,0,0,0,0,0,0,0,0,0,0,1,0
Gm13854,0,1,0,1,1,0,0,0,1,1,0,0
Gm13861,1,0,0,0,0,0,0,0,0,0,0,0
Gm13870,2,3,0,2,1,2,2,1,4,6,4,2
Gm13872,0,0,0,0,3,1,0,1,3,4,1,2
Gm13882,5,7,9,3,1,2,0,2,7,8,7,8
Gm13884,0,0,1,0,0,0,0,0,0,0,0,0
Gm13885,0,0,0,0,0,0,0,0,0,0,1,0
Gm13886,1,2,1,1,1,0,1,0,1,0,1,0
Gm13889,15,11,5,12,1,1,0,0,4,4,1,0
Gm13890,0,0,0,0,1,0,0,0,0,0,0,0
Gm13899,0,0,0,0,0,0,1,0,0,0,0,0
Gm13904,0,0,0,0,0,0,0,0,0,1,0,1
Gm13915,0,0,0,0,0,1,0,0,0,0,0,0
Gm13919,0,0,0,0,0,1,0,0,0,0,0,0
Gm13920,0,0,0,0,0,0,0,0,0,1,0,0
Gm13937,0,0,0,0,0,0,0,0,0,2,0,0
Gm13940,0,0,1,0,0,0,0,0,0,0,1,0
Gm13944,1,1,0,0,1,0,1,1,2,0,0,0
Gm13954,1,0,0,0,0,0,0,1,1,0,0,0
Gm13961,1,1,0,0,0,0,0,0,1,0,0,1
Gm13963,0,0,0,0,0,0,1,1,0,1,0,0
Gm13964,0,0,0,0,0,1,0,2,1,1,0,0
Gm13967,0,0,1,0,0,0,0,1,0,0,0,0
Gm13972,0,0,0,0,0,0,0,0,0,0,0,0
Gm13977,0,0,0,0,0,0,0,0,0,0,0,1
Gm13986,0,0,0,0,0,0,0,0,0,0,0,0
Gm13991,0,0,0,0,0,0,1,0,0,0,0,0
Gm13994,1,0,0,0,0,0,0,0,0,0,0,0
Gm13999,0,0,0,0,0,0,0,0,1,0,0,0
Gm14000,1,0,0,0,0,0,0,1,2,1,1,1
Gm14002,0,0,0,1,0,0,0,0,0,0,1,0
Gm14004,0,0,0,0,0,0,0,0,0,0,0,1
Gm14006,0,0,0,1,1,0,1,0,1,0,0,0
Gm14008,0,0,0,0,0,0,0,0,0,0,1,0
Gm14013,0,1,0,0,0,1,0,0,0,1,0,0
Gm14015,0,0,0,0,0,0,0,0,1,0,0,0
Gm14016,0,0,0,0,0,0,0,0,0,0,1,0
Gm14017,0,0,0,0,0,0,1,0,0,0,0,0
Gm14020,0,0,0,0,0,0,1,1,1,1,0,0
Gm14021,2,1,2,1,0,0,0,0,0,3,0,0
Gm14022,1,0,0,0,0,1,0,0,0,0,0,0
Gm14026,2,0,0,0,0,1,1,1,6,1,3,1
Gm14027,0,1,0,0,0,0,0,0,0,0,0,0
Gm14029,0,0,0,1,0,0,0,0,0,0,0,0
Gm14032,0,1,0,0,0,0,0,0,0,0,0,0
Gm14037,0,0,0,0,0,0,0,0,0,0,0,0
Gm14042,0,0,0,0,0,0,0,0,0,0,0,0
Gm14046,4,1,0,1,0,0,0,1,0,0,0,0
Gm14049,0,0,0,0,1,0,0,0,0,0,0,0
Gm14052,0,0,0,0,0,0,0,0,0,0,0,0
Gm14061,1,1,0,0,0,0,0,0,0,0,0,0
Gm14066,2,0,1,1,0,0,0,0,0,0,0,0
Gm14083,0,0,0,0,1,0,0,1,0,0,0,0
Gm14091,1,1,1,0,0,0,0,0,3,3,1,1
Gm14094,0,0,0,0,0,0,0,0,0,0,0,1
Gm14097,0,0,0,0,0,0,0,0,1,0,0,0
Gm14106,0,0,0,0,0,0,0,0,0,1,0,0
Gm14107,0,0,0,0,0,0,0,0,0,2,1,0
Gm14108,0,0,0,0,0,0,0,1,0,0,0,0
Gm14111,1,2,5,2,0,0,0,0,3,1,0,0
Gm14113,0,1,1,0,0,0,1,0,0,2,0,1
Gm14115,0,0,0,0,0,0,1,0,1,1,1,0
Gm14117,0,0,0,1,0,0,0,0,0,0,0,0
Gm14119,0,0,0,0,0,0,0,0,0,0,0,1
Gm14120,0,0,0,0,0,0,0,0,0,0,0,0
Gm14121,0,0,1,0,0,0,0,0,0,0,0,0
Gm14122,0,0,0,0,1,0,1,1,1,0,0,1
Gm14123,0,0,0,0,0,0,0,0,1,0,0,0
Gm14124,1,0,0,0,0,0,0,0,1,0,0,0
Gm14125,0,0,0,0,0,0,0,1,0,0,0,0
Gm14130,1,2,1,0,0,0,0,0,1,5,2,0
Gm14137,0,0,2,1,0,0,0,0,0,0,0,0
Gm14143,0,0,0,0,0,1,0,0,0,0,0,0
Gm14148,0,0,2,3,0,0,0,0,0,3,0,2
Gm14149,0,0,0,0,0,0,0,0,0,0,0,1
Gm14150,4,2,0,2,0,0,0,0,2,0,0,0
Gm14159,0,0,0,0,0,0,0,0,0,0,1,0
Gm14164,2,0,0,0,0,0,0,0,1,0,0,0
Gm14165,0,0,0,0,0,0,0,0,0,0,0,1
Gm14168,2,2,0,4,0,0,0,2,0,3,1,0
Gm14169,4,1,0,0,0,0,0,1,0,0,0,0
Gm14174,1,0,0,0,0,0,0,0,0,0,0,0
Gm14176,0,0,0,1,0,0,0,0,0,0,0,0
Gm14204,1,7,5,7,0,0,1,0,3,2,1,0
Gm14207,0,1,0,1,0,0,0,0,0,0,1,0
Gm14210,2,0,0,0,0,0,0,1,1,0,0,0
Gm14211,0,0,0,0,0,1,1,1,0,0,0,0
Gm14212,1,0,1,0,0,1,0,0,0,0,1,1
Gm14216,0,0,0,0,0,0,0,1,0,0,0,1
Gm14226,0,0,0,0,0,0,0,0,1,0,0,0
Gm14227,0,0,0,0,0,0,0,0,0,0,0,0
Gm14228,0,0,0,0,0,0,0,0,0,0,1,0
Gm14234,1,1,2,1,0,0,1,0,1,1,1,0
Gm14236,44,37,32,44,7,18,12,21,47,59,28,30
Gm14245,1,0,0,0,0,0,0,0,0,0,0,0
Gm14248,0,0,1,1,1,0,0,0,0,1,0,0
Gm14251,0,0,0,1,0,0,0,0,0,0,0,0
Gm14252,0,0,0,0,0,0,0,0,0,1,0,0
Gm14253,0,0,0,0,0,0,0,0,0,0,1,0
Gm14263,0,0,0,0,0,0,0,0,0,0,0,1
Gm14267,2,3,1,1,0,0,0,0,1,0,0,0
Gm14274,1,0,1,0,0,0,0,0,1,0,0,0
Gm14276,0,0,0,0,0,0,0,0,0,1,0,0
Gm14278,0,0,0,0,0,0,1,0,0,2,1,0
Gm14281,0,0,0,0,0,0,0,0,1,0,0,1
Gm14285,0,0,1,0,0,0,0,0,0,0,0,0
Gm14286,0,3,0,0,0,0,0,0,1,0,0,0
Gm14291,1,1,0,0,0,0,0,1,1,0,0,0
Gm14295,0,0,0,0,1,0,0,0,0,0,0,0
Gm14296,0,1,0,0,0,0,0,0,0,1,0,0
Gm14302,0,0,0,1,0,0,0,0,0,0,0,0
Gm14303,0,0,1,0,0,0,0,0,0,0,0,0
Gm14305,0,0,0,0,0,0,0,0,0,1,0,0
Gm14321,0,0,0,0,0,0,0,0,0,0,0,0
Gm14322,0,0,0,0,0,0,0,0,0,0,0,0
Gm14324,0,0,0,0,0,0,0,0,1,0,0,0
Gm14325,0,1,1,1,0,0,0,0,0,0,2,0
Gm14326,0,0,0,0,0,0,0,0,1,1,0,0
Gm14329,0,0,0,1,0,0,0,0,0,0,0,0
Gm14335,1,0,0,0,0,0,0,0,0,0,0,0
Gm14341,0,0,0,0,0,0,0,0,0,0,1,0
Gm14342,0,1,0,0,0,0,2,0,1,0,1,1
Gm14343,0,0,0,0,0,1,0,0,0,0,0,0
Gm14363,1,0,0,0,0,0,0,0,0,0,0,0
Gm14372,1,0,0,3,3,2,0,1,2,1,0,0
Gm14373,2,0,0,0,0,0,0,0,0,1,2,1
Gm14379,0,1,0,1,0,0,0,0,0,0,0,0
Gm14382,0,0,0,0,0,0,0,0,3,0,0,0
Gm14383,0,0,0,0,0,0,0,0,0,0,1,0
Gm14389,0,0,0,1,0,1,0,0,0,0,0,0
Gm14398,0,0,0,0,0,0,0,0,0,0,0,0
Gm14403,0,0,0,1,0,0,0,0,2,1,1,1
Gm14410,1,1,0,0,0,1,0,1,1,0,0,0
Gm14412,0,0,1,0,0,0,0,0,0,0,0,0
Gm14425,0,0,0,0,0,0,0,0,0,0,0,1
Gm14427,1,0,0,0,0,0,0,0,0,0,0,0
Gm14428,0,0,0,0,0,0,0,0,1,0,0,0
Gm14429,0,0,0,0,0,0,0,0,1,0,0,0
Gm14438,0,0,0,0,0,0,0,0,0,0,1,0
Gm14443,1,1,2,0,0,0,0,1,0,0,0,0
Gm14450,0,1,0,0,0,0,0,0,0,0,0,0
Gm14455,0,1,0,0,0,0,0,0,0,0,0,0
Gm14461,0,0,0,0,0,0,0,0,0,0,0,0
Gm14464,3,0,1,0,1,0,0,0,0,0,0,1
Gm14470,0,0,0,0,1,0,0,0,0,1,0,0
Gm14471,0,0,0,0,0,1,0,0,0,0,0,0
Gm14472,0,0,0,0,0,1,0,0,0,0,0,0
Gm14486,0,0,0,0,0,0,1,0,0,0,0,0
Gm14488,1,0,0,0,0,0,0,0,0,1,0,1
Gm14494,0,0,0,0,0,0,0,0,0,0,0,0
Gm14504,0,0,0,0,0,0,0,0,0,1,0,0
Gm14505,0,4,2,0,0,3,0,2,8,6,5,0
Gm14506,0,1,1,1,5,5,6,4,2,1,1,1
Gm14508,0,0,0,0,0,1,1,0,8,1,2,5
Gm14513,0,0,0,0,0,0,0,0,0,0,1,0
Gm14516,1,1,0,0,1,1,0,0,2,2,1,0
Gm14538,0,0,0,1,0,0,0,0,0,0,0,0
Gm14540,0,0,0,0,1,0,0,0,0,0,0,0
Gm14549,1,1,0,0,0,0,0,0,1,0,1,2
Gm14561,1,0,0,0,0,0,0,0,0,0,0,0
Gm14584,3,5,1,2,0,0,0,1,2,0,0,0
Gm14586,0,0,0,0,0,0,0,0,0,0,0,1
Gm14620,0,0,1,0,0,0,0,0,0,0,0,0
Gm14630,0,0,0,0,0,0,0,0,0,1,0,0
Gm14634,3,2,4,2,0,1,0,0,1,0,2,0
Gm14636,1,0,0,1,0,0,0,0,0,0,0,0
Gm14639,0,0,0,0,0,0,0,0,0,0,0,0
Gm14648,0,0,0,0,0,0,0,0,0,0,0,1
Gm14667,0,0,1,0,0,0,0,0,0,0,0,0
Gm14688,0,0,0,0,0,0,0,0,0,1,0,0
Gm14696,0,1,0,0,0,0,1,0,0,0,0,0
Gm14697,0,0,0,0,0,1,0,0,0,0,0,0
Gm14703,0,0,0,0,0,0,0,0,0,0,0,0
Gm14705,1,0,0,0,0,0,0,0,0,0,0,0
Gm14735,0,0,0,0,0,0,0,1,0,0,0,0
Gm14746,1,1,0,0,0,0,0,0,1,0,0,0
Gm14747,0,0,0,1,0,0,0,0,2,1,0,0
Gm14752,0,0,0,0,0,0,0,1,0,0,0,0
Gm14767,2,0,0,0,0,0,0,0,0,0,0,0
Gm14775,0,0,0,0,0,0,0,0,0,1,0,0
Gm14776,0,1,0,0,0,0,0,0,0,0,0,0
Gm14777,0,0,0,0,0,1,0,0,0,0,0,0
Gm14780,0,1,1,0,0,0,0,1,2,0,0,1
Gm14785,0,0,1,0,0,0,0,0,0,0,0,0
Gm14794,2,0,1,0,0,0,0,1,0,0,0,0
Gm14797,0,0,0,0,0,0,0,0,0,0,0,0
Gm14798,0,0,0,0,0,0,0,1,0,0,1,0
Gm14800,1,0,0,1,0,1,1,0,1,0,0,0
Gm14804,0,0,1,2,0,0,0,0,0,0,0,0
Gm14806,0,0,0,0,0,0,0,0,1,0,0,0
Gm14812,1,0,0,0,0,0,0,0,0,0,0,0
Gm14817,0,0,0,0,1,0,0,1,0,0,1,0
Gm14827,0,0,0,0,0,0,0,1,1,0,0,0
Gm14830,0,1,0,0,0,0,0,0,0,0,1,0
Gm14837,3,0,1,0,0,1,0,0,2,0,1,0
Gm14843,0,0,0,0,0,0,0,0,0,1,0,0
Gm14845,0,0,0,0,0,0,0,0,1,0,0,0
Gm14847,0,0,1,0,0,0,0,0,0,0,0,0
Gm14854,0,0,0,0,0,0,1,0,0,0,0,0
Gm14857,1,1,0,0,1,1,0,0,1,2,0,0
Gm14860,0,0,1,0,1,1,0,2,1,0,1,0
Gm14875,0,1,0,0,0,0,0,0,0,0,0,0
Gm14884,0,0,0,0,0,1,0,0,0,0,0,0
Gm14890,1,0,0,0,0,0,0,0,0,0,0,0
Gm14895,1,0,1,1,0,0,0,0,0,0,1,1
Gm14908,0,1,0,0,0,0,0,0,0,0,0,0
Gm14911,0,0,1,0,0,0,0,0,1,1,0,0
Gm14921,1,2,1,3,0,1,0,0,2,8,0,5
Gm14932,0,1,0,0,0,0,0,0,0,0,0,0
Gm14933,0,0,0,0,0,0,0,0,1,0,0,0
Gm14935,0,0,0,0,0,0,0,0,0,0,1,0
Gm14939,0,0,0,1,0,0,0,0,0,0,0,0
Gm14940,0,0,0,0,0,0,0,0,0,1,0,0
Gm14963,0,0,0,0,0,0,0,0,0,0,0,0
Gm14964,1,0,0,0,0,0,0,0,0,0,0,0
Gm14966,0,0,0,0,0,1,0,0,2,0,3,1
Gm14978,0,0,0,0,0,0,0,0,0,0,1,0
Gm14979,1,0,0,0,0,0,0,0,0,0,0,0
Gm14980,0,0,0,0,0,0,0,0,0,0,0,0
Gm14983,0,0,0,0,0,0,0,0,0,0,0,1
Gm14984,0,0,0,1,0,0,0,0,0,1,1,2
Gm14989,0,0,1,0,0,0,0,0,0,0,0,0
Gm15007,0,1,0,1,0,0,0,0,0,0,0,0
Gm15008,0,0,0,0,0,0,0,0,0,0,0,1
Gm15016,0,0,0,0,0,0,0,0,0,1,0,0
Gm15033,0,1,0,0,0,0,0,0,0,0,1,0
Gm15036,0,0,0,0,0,0,0,0,0,0,0,0
Gm15054,0,0,0,1,0,0,0,0,0,0,0,0
Gm15066,0,0,1,0,0,0,0,0,1,0,0,0
Gm15082,0,1,0,0,0,0,0,0,0,0,0,0
Gm15104,0,0,0,1,0,0,0,0,0,0,0,0
Gm15122,0,2,0,1,0,0,0,0,0,0,0,0
Gm15132,0,1,0,0,0,0,0,0,0,0,0,0
Gm15152,0,0,0,0,0,0,0,0,0,0,1,0
Gm15162,0,0,1,0,0,0,0,0,0,0,0,0
Gm15172,0,1,0,0,0,0,1,0,1,1,0,0
Gm15186,0,1,0,0,0,0,0,0,0,0,0,0
Gm15189,0,1,0,0,0,0,0,0,1,0,0,0
Gm15191,0,4,2,2,0,0,1,0,6,4,4,1
Gm15201,2,0,1,0,0,0,1,0,0,0,0,0
Gm15202,1,0,2,0,0,0,0,0,0,0,0,0
Gm15207,0,0,0,1,0,0,0,0,0,0,0,0
Gm15215,1,0,0,0,0,0,0,0,1,0,0,0
Gm15220,0,0,0,0,0,0,0,1,0,0,2,0
Gm15222,0,0,0,0,0,0,0,0,0,0,0,0
Gm15237,0,1,0,0,0,0,0,0,0,0,0,0
Gm15238,0,0,0,0,0,0,0,0,0,1,0,1
Gm15240,1,0,0,2,0,0,0,0,0,0,0,0
Gm15246,1,1,1,1,1,0,0,0,0,1,1,0
Gm15256,18,22,17,22,0,3,1,2,5,7,1,5
Gm15261,0,1,0,0,0,0,0,0,0,0,0,0
Gm15262,1,2,3,2,0,2,0,1,3,2,2,0
Gm15263,1,1,0,1,0,0,0,0,0,0,0,0
Gm15265,1,1,0,0,0,1,0,1,1,1,1,1
Gm15270,0,1,0,1,0,0,0,0,0,0,0,0
Gm15271,0,0,0,0,0,0,0,0,0,1,0,0
Gm15283,1,0,1,1,0,0,2,0,7,5,2,4
Gm15288,0,0,0,0,0,0,0,0,0,0,0,0
Gm15294,1,0,2,2,1,0,1,0,1,3,1,0
Gm15321,0,0,0,0,0,0,0,0,0,1,0,0
Gm15326,0,0,0,0,0,0,0,0,1,0,0,0
Gm15327,1,0,3,0,0,1,0,0,2,2,2,1
Gm15328,0,3,0,0,2,0,2,2,0,2,1,1
Gm15336,0,0,0,0,0,0,0,0,0,1,1,0
Gm15337,1,1,1,1,0,1,0,0,0,0,0,2
Gm15338,1,0,0,0,0,0,0,0,0,0,0,0
Gm15342,3,0,0,0,1,0,1,0,1,3,0,0
Gm15344,0,0,1,0,0,0,0,0,0,0,0,0
Gm15347,0,0,0,0,0,0,1,0,0,0,0,0
Gm15348,0,0,0,0,1,1,2,0,4,6,1,0
Gm15349,0,1,1,0,0,0,0,0,2,0,0,0
Gm15350,0,0,0,0,1,0,0,0,0,0,0,0
Gm15351,1,3,2,0,0,0,1,0,0,2,0,0
Gm15354,0,0,0,0,0,0,0,0,0,0,0,0
Gm15356,0,0,0,0,0,0,0,0,0,1,0,3
Gm15364,0,0,0,0,0,0,0,0,0,0,1,0
Gm15367,0,0,1,0,0,0,0,0,0,1,0,0
Gm15379,0,0,0,0,0,0,0,0,0,0,0,1
Gm15384,0,1,0,0,0,0,0,0,0,0,0,0
Gm15396,1,1,0,0,3,0,0,0,0,0,1,0
Gm15398,0,0,1,0,0,0,0,0,0,0,0,0
Gm15402,1,0,0,0,0,0,0,0,0,0,0,0
Gm15408,0,0,0,0,0,1,0,0,0,0,0,0
Gm15411,1,2,0,0,0,0,0,0,0,0,0,0
Gm15412,1,0,1,1,0,0,0,0,0,0,0,0
Gm15413,1,0,0,0,0,1,0,0,0,0,0,0
Gm15416,1,0,0,1,0,2,0,1,0,0,0,0
Gm15417,2,4,3,1,1,2,2,2,4,4,2,3
Gm15418,1,0,0,0,0,0,0,0,0,0,0,0
Gm15422,0,0,0,1,0,0,0,0,0,0,0,0
Gm15423,1,0,0,0,0,0,0,0,1,0,0,0
Gm15425,1,1,0,0,0,0,0,0,0,0,0,1
Gm15426,0,0,0,1,0,0,0,0,0,0,1,0
Gm15427,0,1,2,0,0,0,0,0,0,0,0,0
Gm15429,0,0,0,0,0,0,0,0,0,0,0,0
Gm15444,0,0,0,0,1,0,0,0,0,0,0,0
