,F0.005,F0.01,F0.025,F0.05,F0.075,F0.1,F0.2,F0.3,F0.4,F0.5,F0.7,F0.9
0,1691,3358,8160,15757,23599,30817,57856,82709,104809,124698,158901,188236
1,1608,3274,8089,15933,23784,30929,58485,83154,104838,124831,158992,188238
2,1654,3283,8227,15909,23496,30944,58212,83218,105084,125027,159492,188206
3,1631,3302,8052,16038,23696,30977,58649,83029,104879,124589,159246,188255
4,1619,3266,8135,15852,23557,31034,58377,82776,104457,124534,159166,188097
,,,,,,,,,,,,
,1640.6,3296.6,8132.6,15897.8,23626.4,30940.2,58315.8,82977.2,104813.4,124735.8,159159.4,188206.4
,32.94389169,36.84833782,67.20342253,103.6132231,114.2947943,79.79786965,302.3188714,226.019247,226.480242,198.4709047,230.7375132,63.64982325
