,Gene,Bipolar1/Rods,Bipolar2/Rods,Bipolar3/Rods,Bipolar4/Rods,Bipolar5/Rods,Bipolar6/Rods,Bipolar1/Cones,Bipolar2/Cones,Bipolar3/Cones,Bipolar4/Cones,Bipolar5/Cones,Bipolar6/Cones,Bipolar1/MG,Bipolar2/MG,Bipolar3/MG,Bipolar4/MG,Bipolar5/MG,Bipolar6/MG,Bipolar1/BCs,Bipolar2/BCs,Bipolar3/BCs,Bipolar4/BCs,Bipolar5/BCs,Bipolar6/BCs
1110037F02Rik,1110037F02Rik,2,1,2,5,3,3,0.0,0,0,0,1,4,11,15,12,27,58,42,196,228,208,281,456,378
1110038B12Rik,1110038B12Rik,0,1,0,3,2,2,0.0,0,0,0,1,0,5,4,9,7,25,19,86,130,88,122,215,233
1110038F14Rik,1110038F14Rik,4,4,2,4,5,4,0.0,0,1,0,4,4,25,34,27,32,82,67,214,293,287,390,515,434
1110046J04Rik,1110046J04Rik,0,2,0,0,1,0,0.0,0,0,0,2,1,2,2,2,1,12,7,20,57,40,49,92,94
1110051M20Rik,1110051M20Rik,1,5,0,7,14,11,0.0,0,0,1,4,2,21,19,12,16,54,46,190,235,212,294,561,405
1110054M08Rik,1110054M08Rik,0,0,1,0,0,0,0.0,0,0,0,0,0,12,12,16,22,0,0,1,2,2,2,0,0
1110057K04Rik,1110057K04Rik,1,0,2,5,0,0,0.0,0,0,0,0,0,27,28,36,23,0,0,98,131,128,159,0,0
1110059E24Rik,1110059E24Rik,1,2,1,5,0,0,0.0,0,0,0,3,2,10,16,36,28,57,62,166,183,145,186,309,299
1110059G10Rik,1110059G10Rik,0,1,2,5,8,3,0.0,1,0,0,1,4,15,13,23,14,54,47,149,234,217,228,386,311
1110065P20Rik,1110065P20Rik,1,1,3,9,13,10,0.0,1,0,0,0,1,14,29,21,23,70,62,570,638,571,732,1335,1230
1190002F15Rik,1190002F15Rik,0,0,0,0,0,0,0.0,0,0,0,1,0,11,8,9,17,22,20,1,4,1,1,0,4
1190002N15Rik,1190002N15Rik,1,0,0,1,2,1,0.0,0,1,1,0,0,15,26,18,26,81,58,72,118,70,113,174,144
1190003K10Rik,1190003K10Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1190005I06Rik,1190005I06Rik,3,3,6,13,16,22,0.0,0,1,2,7,9,28,32,41,40,95,90,807,1035,895,1166,1731,1661
1190007I07Rik,1190007I07Rik,1,0,0,2,0,0,0.0,0,0,0,0,0,7,9,10,8,12,8,67,106,84,116,127,122
1200007C13Rik,1200007C13Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0
1200014J11Rik,1200014J11Rik,5,1,3,12,4,8,0.0,0,2,0,3,6,16,29,17,18,47,65,306,421,348,500,814,705
1300002E11Rik,1300002E11Rik,0,0,3,2,0,2,0.0,0,0,0,0,0,10,19,24,21,59,41,96,105,101,135,271,210
1300017J02Rik,1300017J02Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1
1500002C15Rik,1500002C15Rik,0,0,0,1,0,0,0.0,0,0,0,0,0,2,3,4,1,3,4,8,19,16,17,32,23
1500002F19Rik,1500002F19Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,2,3,5,1,5,8,9
1500004A13Rik,1500004A13Rik,1,0,1,1,2,1,0.0,0,0,0,0,2,7,11,16,15,27,31,107,153,147,152,238,207
1500009C09Rik,1500009C09Rik,1,0,4,5,8,1,0.0,0,0,0,1,0,2,1,0,1,14,7,284,374,257,423,768,638
1500009L16Rik,1500009L16Rik,1,1,1,2,2,1,0.0,0,0,0,0,1,0,1,1,1,3,2,80,93,75,77,294,281
1500011B03Rik,1500011B03Rik,7,5,4,9,18,9,0.0,1,0,1,9,5,16,21,33,21,90,74,470,570,455,615,1300,1130
1500011K16Rik,1500011K16Rik,2,5,5,10,14,13,0.0,0,3,2,7,1,18,53,47,56,115,115,419,658,524,662,1144,1039
1500012F01Rik,1500012F01Rik,5,4,3,8,22,7,0.0,0,0,0,0,0,18,16,15,23,91,75,312,407,298,433,838,687
1500012K07Rik,1500012K07Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,8,5,0
1500015A07Rik,1500015A07Rik,7,1,1,4,1,2,0.0,0,0,0,0,2,8,17,7,9,34,22,132,169,159,196,242,250
1500015L24Rik,1500015L24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1500015O10Rik,1500015O10Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,3,0,2,1,1,0,2
1500017E21Rik,1500017E21Rik,0,2,0,1,0,0,0.0,0,0,0,0,0,0,2,1,1,4,1,14,17,25,33,68,72
1500026H17Rik,1500026H17Rik,0,0,1,0,0,1,0.0,0,0,0,1,1,4,7,5,4,8,12,31,41,36,32,78,100
1500035N22Rik,1500035N22Rik,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,36,22,34,47,49,38
1520401A03Rik,1520401A03Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1
1600002H07Rik,1600002H07Rik,0,1,0,1,0,0,0.0,0,0,0,0,0,1,7,2,4,15,6,30,38,35,37,128,72
1600002K03Rik,1600002K03Rik,1,0,2,1,1,2,0.0,0,0,0,1,2,8,10,10,10,31,35,67,77,81,67,212,167
1600012H06Rik,1600012H06Rik,1,1,0,0,1,4,0.0,0,0,0,3,1,7,15,11,14,33,34,94,125,97,122,173,165
1600014C10Rik,1600014C10Rik,3,1,0,0,1,0,0.0,0,0,0,0,0,0,4,3,3,14,9,32,41,52,46,107,94
1600014C23Rik,1600014C23Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,3,1,2,12,13,8,8,10,15,34,18
1600020E01Rik,1600020E01Rik,2,1,1,6,5,1,0.0,0,0,0,1,2,9,13,11,8,33,25,86,115,119,116,224,168
1700001C02Rik,1700001C02Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1700001F09Rik,1700001F09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001G11Rik,1700001G11Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,4,1,2,2,2,10,19,7
1700001G17Rik,1700001G17Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,1
1700001J03Rik,1700001J03Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,3,10,5,4,15,10
1700001K19Rik,1700001K19Rik,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,2
1700001L05Rik,1700001L05Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,1
1700001L19Rik,1700001L19Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,2,0,4,1,6,5,2,0,26,16
1700001O22Rik,1700001O22Rik,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,3,2,5,3,2,1,0,1,4,2
1700001P01Rik,1700001P01Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1
1700003D09Rik,1700003D09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1700003E16Rik,1700003E16Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,5,3
1700003F12Rik,1700003F12Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,7,9,4,10,12,14,3,1,2,3,5,9
1700003G18Rik,1700003G18Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1700003M02Rik,1700003M02Rik,0,1,0,1,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
