Gene,ONL_1,ONL_2,ONL_3,ONL_4,ONL_5,ONL_6,BP_1,BP_2,BP_3,BP_4,BP_5,BP_6
Tfe3,0,1,0,4,2,2,75,104,80,109,163,151
Tfeb,0,0,0,0,0,0,10,15,14,17,36,31
Tff2,0,0,0,0,0,0,1,3,2,2,10,7
Tff3,0,0,0,0,0,0,0,1,0,0,0,0
Tfg,2,2,5,7,8,10,322,390,350,429,785,730
Tfip11,1,1,0,0,2,2,31,55,39,60,92,88
Tfpi,0,0,0,0,0,0,11,10,7,16,24,21
Tfpt,1,0,1,2,2,5,65,104,48,96,202,190
Tfr2,0,0,0,0,0,0,3,4,1,4,12,3
Tfrc,1,0,2,10,15,18,292,413,379,482,864,758
Tg,0,0,0,0,0,0,1,0,0,0,0,1
Tgds,0,0,3,1,2,1,45,44,37,40,71,68
Tgfa,0,0,0,1,0,0,4,5,4,6,5,7
Tgfb1,0,0,0,0,0,0,0,0,0,0,0,0
Tgfb1i1,0,0,0,0,1,1,0,1,1,2,2,4
Tgfb2,9,17,15,23,31,31,1565,2119,2072,2381,4252,3778
Tgfb3,0,0,0,0,0,0,2,6,2,5,16,15
Tgfbi,0,0,0,0,0,0,1,0,0,0,0,0
Tgfbr1,0,1,0,2,1,2,48,74,71,82,189,170
Tgfbr2,0,0,0,0,0,0,0,0,0,0,1,1
Tgfbr3,0,0,0,0,1,2,12,13,9,17,20,28
Tgfbr3l,0,0,0,0,0,0,2,2,3,4,4,3
Tgfbrap1,1,1,0,3,0,0,41,59,42,71,105,103
Tgif1,0,0,0,0,0,0,4,3,3,4,12,8
Tgif2,0,1,0,0,0,0,1,1,2,2,5,4
Tgm1,0,0,0,0,0,0,0,1,0,1,1,0
Tgm2,0,0,0,0,0,0,0,2,0,3,3,2
Tgm3,0,3,0,0,0,0,1,3,1,6,2,5
Tgm4,0,0,0,0,1,1,8,8,9,13,18,19
Tgm5,0,0,0,0,0,0,0,0,0,0,0,0
Tgoln1,2,1,4,6,11,8,251,337,324,376,666,561
Tgs1,3,2,2,8,4,3,241,316,295,378,654,535
Tgtp1,0,0,0,0,0,0,1,0,0,0,0,0
Tgtp2,0,0,0,0,0,0,1,0,0,0,0,0
Th,0,0,0,0,0,0,1,0,0,0,0,0
Tha1,0,0,0,0,1,0,13,13,19,12,31,27
Thada,0,0,1,0,1,1,14,12,17,19,25,18
Thap1,0,1,1,0,2,1,27,41,36,35,73,63
Thap11,2,1,2,5,6,10,169,209,206,227,447,390
Thap2,0,3,3,2,7,5,117,160,144,156,183,163
Thap3,2,1,3,3,8,6,146,227,185,228,400,296
Thap4,1,0,3,2,3,4,56,73,52,64,140,152
Thap7,3,0,0,2,3,1,53,52,50,55,187,171
Thap8,0,0,0,0,0,0,0,0,1,0,1,0
Thbd,0,0,0,0,0,0,0,0,1,0,0,0
Thbs1,0,0,0,0,0,0,0,1,2,1,2,4
Thbs2,0,0,0,0,0,0,0,0,0,1,2,0
Thbs3,0,0,0,0,0,0,2,2,3,2,4,7
Thbs4,0,0,0,0,0,0,0,0,0,0,1,1
Them4,0,1,0,4,2,3,90,110,105,132,196,218
Them5,0,0,0,0,0,0,0,0,1,0,0,1
Them6,2,1,1,4,1,4,152,204,166,206,160,188
Them7,0,0,0,0,0,0,0,0,0,0,0,1
Themis,0,0,0,0,0,0,0,1,0,1,0,0
Themis2,0,0,0,0,0,0,0,1,0,0,0,0
Thg1l,1,0,1,1,2,1,18,30,32,25,52,38
Thnsl1,1,0,1,1,1,0,45,42,47,57,99,90
Thnsl2,0,0,0,0,1,0,2,1,5,8,18,18
