Gene,ONL_1,ONL_2,ONL_3,ONL_4,ONL_5,ONL_6,BP_1,BP_2,BP_3,BP_4,BP_5,BP_6
Epha1,0,0,0,0,0,0,1,1,0,0,0,0
Epha10,1,0,3,0,1,1,56,74,78,101,259,196
Epha2,0,0,0,0,0,0,1,2,1,1,5,4
Epha3,0,0,0,2,1,2,44,49,44,78,217,146
Epha4,0,1,2,2,6,2,217,316,308,354,884,707
Epha5,3,0,7,4,5,5,218,287,292,411,956,840
Epha6,0,0,0,0,0,0,0,0,0,0,1,1
Epha7,4,1,9,13,3,12,353,498,496,548,1132,1000
Epha8,0,0,0,1,0,0,20,26,22,22,64,52
Ephb1,0,0,0,0,0,0,9,14,8,14,32,23
Ephb2,0,0,0,0,1,3,22,27,30,45,116,100
Ephb3,0,0,0,0,1,1,15,22,17,22,59,50
Ephb4,0,0,0,0,0,0,0,3,1,3,5,4
Ephb6,0,0,0,1,1,0,4,7,4,8,52,32
Ephx1,0,0,0,0,2,1,24,20,24,29,34,28
Ephx2,0,2,0,0,1,0,18,18,23,24,67,47
Ephx3,0,0,0,0,0,0,4,3,0,0,1,1
Ephx4,0,0,1,1,0,1,35,40,30,54,97,80
Epm2a,2,0,4,2,1,1,96,122,102,130,228,190
Epm2aip1,0,3,3,10,12,9,278,347,359,431,708,609
Epn1,1,2,1,2,1,5,111,156,111,154,340,300
Epn2,0,1,2,3,4,5,167,251,224,251,409,346
Epn3,0,0,0,0,0,0,1,1,0,3,7,9
Epor,0,0,0,0,0,0,0,0,0,0,1,1
Eppin,0,0,0,0,0,0,0,0,0,0,0,1
Eprs,1,4,10,13,25,19,549,752,775,884,2093,1937
Eps15,3,4,2,5,2,5,224,294,263,350,990,761
Eps15l1,0,0,1,1,2,1,74,104,87,113,230,220
Eps8,2,0,8,7,13,12,256,313,342,361,820,753
Eps8l1,0,0,0,0,0,0,11,6,12,14,5,2
Eps8l2,0,0,0,0,0,0,1,1,1,5,5,2
Eps8l3,0,0,0,0,0,0,1,3,2,4,1,1
Ept1,0,2,0,0,1,0,52,58,61,78,142,120
Epx,0,0,0,0,0,0,0,0,0,1,0,0
Epyc,0,0,0,0,0,0,0,0,0,1,0,0
Eqtn,0,0,0,0,0,0,1,1,2,0,4,1
Eral1,0,1,0,0,2,4,38,36,34,41,138,103
Erap1,0,0,0,0,0,0,17,31,32,24,48,46
Eras,0,0,0,0,0,0,1,0,0,0,0,1
Erbb2,0,0,0,0,0,0,2,1,2,1,4,6
Erbb2ip,0,3,0,0,9,3,72,91,91,125,387,320
Erbb3,0,0,0,0,0,0,1,2,0,1,2,1
Erbb4,0,1,0,0,0,2,35,34,38,53,138,90
Erc1,0,1,0,2,3,6,94,138,103,150,500,413
Erc2,0,0,2,5,5,4,97,145,126,120,349,312
Ercc1,0,1,0,3,4,2,47,65,57,70,205,194
Ercc2,1,0,0,1,4,3,59,63,48,73,138,131
Ercc3,0,0,0,2,5,0,24,33,49,34,90,71
Ercc4,0,1,2,1,0,1,73,76,93,89,184,138
Ercc5,4,2,4,6,12,4,187,261,232,293,574,440
Ercc6,1,2,1,3,2,1,64,80,79,93,139,149
Ercc6l,0,0,0,0,0,0,5,2,7,6,10,16
Ercc6l2,1,1,3,3,2,7,130,190,151,194,342,288
Ercc8,1,0,0,0,0,1,28,43,44,57,83,82
Erdr1,1,1,0,3,7,4,59,94,71,87,418,337
Ereg,0,0,0,0,0,0,0,1,0,1,0,1
Erf,0,0,0,0,0,0,13,7,5,7,16,15
Erg,0,0,0,0,0,0,0,1,0,0,1,0
Ergic1,2,4,1,4,6,4,137,169,124,186,511,472
Ergic2,2,2,2,7,6,6,221,285,257,298,670,545
Ergic3,2,6,5,6,8,11,297,394,313,389,983,784
Erh,0,0,0,5,0,1,28,53,43,39,67,43
Eri1,1,0,0,2,1,0,35,52,39,52,91,88
Eri2,1,0,0,0,1,0,28,66,36,54,98,83
Eri3,2,1,2,2,5,4,98,124,95,146,338,309
Erich1,0,1,3,4,3,4,85,118,130,148,196,159
Erich2,0,0,0,0,0,0,0,0,0,0,0,0
Erich2os,0,0,0,0,0,0,0,0,0,0,0,0
Erich3,0,0,0,0,0,0,25,30,40,31,36,40
Erich5,3,0,1,4,1,2,117,153,153,190,189,207
Erich6,0,1,0,0,0,0,1,0,4,4,6,6
Erlec1,7,7,12,14,15,9,380,506,499,518,878,774
Erlin1,2,4,0,1,2,3,79,106,99,123,185,136
Erlin2,2,2,3,2,1,5,126,142,158,171,356,285
Ermap,0,0,0,0,0,0,0,0,1,0,1,1
Ermard,2,0,0,0,1,0,39,63,57,76,85,81
Ermn,0,0,0,0,0,0,1,1,0,1,6,2
Ermp1,0,0,0,2,0,0,21,15,27,36,57,47
Ern1,0,0,0,0,0,0,8,8,5,13,14,15
Ern2,0,0,0,0,0,0,0,0,0,0,1,0
Ero1l,0,0,0,3,5,0,65,72,66,78,122,109
Ero1lb,0,1,0,2,2,2,23,33,25,25,56,36
Erp27,0,0,0,0,0,0,0,1,0,0,6,1
Erp29,6,3,7,6,14,11,458,555,521,593,1239,1112
Erp44,0,2,3,2,4,3,155,184,174,198,391,337
Errfi1,1,1,1,3,6,3,73,78,75,94,180,174
Esam,0,3,2,1,4,1,90,119,101,119,386,348
Esco1,1,1,1,3,8,13,180,201,224,235,491,432
Esco2,0,0,0,0,0,0,0,0,0,0,1,3
