AreaOccupied_AreaOccupied_IdentifyPrimaryObjects,AreaOccupied_Perimeter_IdentifyPrimaryObjects,AreaOccupied_TotalArea_IdentifyPrimaryObjects,ImageNumber
15755.0,2295.0,1666560.0,1
18932.0,2283.0,2124000.0,2
17139.0,1907.0,1081080.0,3
