ImageNumber,ObjectNumber,FileName_HumanCyto,PathName_HumanCyto,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
2,18,436E-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,1028.1342794759826,1543.8395196506551,0,18
2,19,436E-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,602.5284609978918,1559.7034434293746,0,19
2,20,436E-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,914.2933104631218,1608.066895368782,0,20
3,1,436F-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,674.3027461486939,104.6443402545211,0,1
3,2,436F-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,653.8719397363465,145.59133709981168,0,2
3,3,436F-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,396.9551954242135,186.39370829361297,0,3
3,4,436F-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,196.10301507537687,270.71984924623115,0,4
3,5,436F-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,990.3070088845014,305.43632773938793,0,5
3,6,436F-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,1024.6086124401913,305.7358851674641,0,6
3,7,436F-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,244.65450643776825,329.3937768240343,0,7
3,8,436F-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,281.3731198447356,359.55749636098983,0,8
3,9,436F-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,482.7304485907106,400.4128622469234,0,9
3,10,436F-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,503.9487021013597,526.6291718170581,0,10
3,11,436F-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,345.6831812255541,660.6818774445893,0,11
3,12,436F-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,540.170146137787,683.6680584551149,0,12
3,13,436F-HumanBC_Crop.tif,/Users/ninning/Desktop/results_cellarea/HumanBCArea,175.0,783.9237804878048,0,13
